subjectID,sessionID,sessionDate,sessionStart,sessionEnd,sessionDuration,phubbsWhileSession,phubbs
MV18,,08/04/2024,14:48:17,16:38:55,1:50:38,8,"['0:01:05', '0:00:47', '0:00:16', '0:01:00', '0:00:14', '0:01:28', '0:00:07', '0:00:19']"
MV18,,08/04/2024,16:43:44,17:33:11,0:49:27,10,"['0:03:36', '0:00:09', '0:00:09', '0:00:12', '0:00:04', '0:00:15', '0:00:22', '0:01:37', '0:00:25', '0:02:39']"
MV18,,08/04/2024,18:54:06,19:01:21,0:07:15,2,"['0:01:24', '0:00:35']"
MV18,,08/04/2024,19:04:34,20:09:07,1:04:33,4,"['0:10:13', '0:00:55', '0:00:04', '0:00:50']"
MV18,,10/04/2024,13:46:36,13:56:47,0:10:11,4,"['0:00:15', '0:00:28', '0:00:13', '0:00:09']"
MV18,,10/04/2024,18:38:08,18:47:30,0:09:22,2,"['0:00:06', '0:00:10']"
MV18,,10/04/2024,19:40:32,19:58:13,0:17:41,6,"['0:00:57', '0:00:23', '0:00:45', '0:00:20', '0:00:07', '0:00:20']"
MV18,,10/04/2024,20:37:44,20:47:03,0:09:19,0,[]
MV18,,10/04/2024,20:50:41,22:16:55,1:26:14,4,"['0:00:09', '0:01:42', '0:00:09', '0:02:12']"
MV18,,10/04/2024,22:27:56,22:29:02,0:01:06,0,[]
MV18,,10/04/2024,22:33:16,23:23:43,0:50:27,5,"['0:00:11', '0:00:04', '0:00:12', '0:00:47', '0:00:12']"
MV18,,10/04/2024,23:27:30,23:28:18,0:00:48,1,['0:00:12']
MV18,,11/04/2024,15:32:49,15:40:08,0:07:19,1,['0:00:03']
MV18,,16/04/2024,10:28:14,10:34:18,0:06:04,1,['0:00:12']
MV18,,16/04/2024,11:41:48,11:43:45,0:01:57,0,[]
MV18,,16/04/2024,11:51:15,12:20:11,0:28:56,3,"['0:00:40', '0:00:07', '0:00:39']"
MV18,,16/04/2024,15:19:12,15:35:50,0:16:38,1,['0:00:51']
MV18,,16/04/2024,15:38:58,17:00:46,1:21:48,5,"['0:00:36', '0:00:30', '0:00:40', '0:01:46', '0:00:30']"
MV18,,16/04/2024,18:50:26,19:17:17,0:26:51,0,[]
MV18,,20/04/2024,17:59:59,19:02:39,1:02:40,3,"['0:00:42', '0:00:11', '0:01:26']"
MV18,,20/04/2024,19:06:48,19:08:56,0:02:08,1,['0:00:03']
MV18,,20/04/2024,19:15:35,20:16:42,1:01:07,0,[]
MV18,,20/04/2024,20:21:23,20:25:38,0:04:15,0,[]
MV18,,20/04/2024,20:41:40,20:49:17,0:07:37,0,[]
MV18,,20/04/2024,21:00:56,21:06:43,0:05:47,0,[]
MV18,,20/04/2024,21:09:51,21:13:53,0:04:02,0,[]
MV18,,20/04/2024,21:20:23,21:30:25,0:10:02,0,[]
MV18,,20/04/2024,21:36:59,21:45:19,0:08:20,0,[]
MV18,,20/04/2024,21:54:49,21:59:45,0:04:56,0,[]
MV18,,20/04/2024,22:06:35,22:25:46,0:19:11,2,"['0:00:15', '0:00:10']"
MV18,,20/04/2024,22:31:40,22:54:55,0:23:15,1,['0:00:02']
MV18,,20/04/2024,23:07:09,23:18:33,0:11:24,1,['0:00:06']
MV18,,20/04/2024,23:21:42,23:22:43,0:01:01,0,[]
MV18,,20/04/2024,23:27:19,23:52:35,0:25:16,0,[]
MV18,,20/04/2024,23:56:34,00:03:05,0:06:31,0,[]
Mu06,,08/04/2024,12:29:39,13:15:50,0:46:11,2,"['0:00:27', '0:00:24']"
Mu06,,08/04/2024,14:46:26,16:37:51,1:51:25,0,[]
Mu06,,08/04/2024,16:41:03,17:33:55,0:52:52,0,[]
Mu06,,08/04/2024,18:49:07,18:59:56,0:10:49,0,[]
Mu06,,08/04/2024,19:04:34,19:52:29,0:47:55,3,"['0:00:09', '0:00:17', '0:00:32']"
Mu06,,08/04/2024,19:56:36,20:02:28,0:05:52,0,[]
Mu06,,10/04/2024,13:46:49,13:56:23,0:09:34,2,"['0:01:15', '0:00:13']"
Mu06,,10/04/2024,18:38:26,18:47:01,0:08:35,0,[]
Mu06,,10/04/2024,19:39:38,19:57:19,0:17:41,2,"['0:00:25', '0:01:41']"
Mu06,,10/04/2024,20:24:01,20:24:08,0:00:07,0,[]
Mu06,,10/04/2024,20:35:06,21:36:50,1:01:44,4,"['0:00:18', '0:00:12', '0:02:02', '0:00:07']"
Mu06,,10/04/2024,21:40:39,22:15:41,0:35:02,0,[]
Mu06,,10/04/2024,22:19:08,22:27:54,0:08:46,0,[]
Mu06,,10/04/2024,22:33:43,23:28:24,0:54:41,0,[]
Mu06,,11/04/2024,15:32:53,15:40:56,0:08:03,0,[]
Mu06,,16/04/2024,10:27:58,10:33:28,0:05:30,1,['0:00:40']
Mu06,,16/04/2024,11:38:24,11:44:19,0:05:55,0,[]
