dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
08/04/2024,08/04/2024,14:18:46,14:10:11,HO30,
08/04/2024,08/04/2024,17:52:34,17:47:55,HO30,
08/04/2024,08/04/2024,18:01:09,17:59:26,HO30,
09/04/2024,09/04/2024,11:35:09,11:31:49,HO30,
11/04/2024,11/04/2024,12:40:27,12:37:37,HO30,
17/04/2024,17/04/2024,11:16:35,11:15:43,HO30,
18/04/2024,18/04/2024,11:34:50,11:30:59,HO30,
18/04/2024,18/04/2024,11:46:20,11:37:55,HO30,
18/04/2024,18/04/2024,11:51:26,11:50:39,HO30,
18/04/2024,18/04/2024,12:07:53,11:59:28,HO30,
18/04/2024,18/04/2024,15:07:09,14:45:58,HO30,
19/04/2024,19/04/2024,16:09:57,16:08:24,HO30,
19/04/2024,19/04/2024,16:20:12,16:14:38,HO30,
08/04/2024,08/04/2024,11:30:00,11:20:03,LJ16,
08/04/2024,08/04/2024,13:20:06,11:34:08,LJ16,
08/04/2024,08/04/2024,14:12:56,13:26:28,LJ16,
08/04/2024,08/04/2024,18:01:16,17:48:11,LJ16,
09/04/2024,09/04/2024,11:33:14,11:29:50,LJ16,
09/04/2024,09/04/2024,12:30:39,12:27:48,LJ16,
17/04/2024,17/04/2024,11:16:39,11:15:13,LJ16,
18/04/2024,18/04/2024,11:35:34,11:30:37,LJ16,
18/04/2024,18/04/2024,11:48:40,11:47:17,LJ16,
18/04/2024,18/04/2024,12:05:15,11:56:31,LJ16,
18/04/2024,18/04/2024,15:01:18,14:45:43,LJ16,
19/04/2024,19/04/2024,16:10:25,16:08:32,LJ16,
19/04/2024,19/04/2024,16:22:25,16:15:01,LJ16,
26/03/2024,26/03/2024,12:03:43,09:49:17,MN03,
28/03/2024,28/03/2024,23:55:28,21:35:20,MN03,
04/04/2024,04/04/2024,09:32:21,09:06:13,MN03,
04/04/2024,04/04/2024,10:00:18,09:43:03,MN03,
04/04/2024,04/04/2024,10:56:44,10:12:53,MN03,
04/04/2024,04/04/2024,11:02:37,11:02:10,MN03,
04/04/2024,04/04/2024,11:14:02,11:05:59,MN03,
04/04/2024,04/04/2024,11:19:10,11:17:17,MN03,
04/04/2024,04/04/2024,12:04:24,11:35:58,MN03,
04/04/2024,04/04/2024,12:34:09,12:08:56,MN03,
04/04/2024,04/04/2024,14:08:01,12:38:18,MN03,
04/04/2024,04/04/2024,14:30:04,14:11:28,MN03,
